bid,ask,mid,spread,bid_0_price,bid_0_size,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,ask_0_price,ask_0_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,imbalance,timestamp
0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2026-04-16 06:34:49.081739
99.74,99.77,99.755,0.030000000000001137,99.74,12,99.73,159,99.71,78,99.7,31,99.69,42,99.77,37,99.8,149,99.84,44,99.85,133,99.91,97,-0.17647058823529413,2026-04-16 06:34:49.590330
99.76,99.77,99.765,0.009999999999990905,99.76,12,99.74,12,99.73,159,99.71,78,99.7,31,99.77,37,99.8,149,99.84,44,99.85,133,99.91,97,-0.22340425531914893,2026-04-16 06:34:50.099110
99.76,99.8,99.78,0.03999999999999204,99.76,12,99.74,12,99.73,159,99.71,78,99.7,31,99.8,125,99.84,44,99.85,133,99.91,97,99.92,237,-0.3706896551724138,2026-04-16 06:34:50.604812
99.76,99.8,99.78,0.03999999999999204,99.76,12,99.74,12,99.73,159,99.71,78,99.7,31,99.8,125,99.84,44,99.85,133,99.91,97,99.92,237,-0.3706896551724138,2026-04-16 06:34:51.110807
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,42,99.67,85,99.66,41,99.8,125,99.84,44,99.85,133,99.91,97,99.92,237,-0.39473684210526316,2026-04-16 06:34:51.616751
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,125,99.84,44,99.85,133,99.91,97,99.92,237,-0.13978494623655913,2026-04-16 06:34:52.119325
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.09433962264150944,2026-04-16 06:34:52.625521
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.09433962264150944,2026-04-16 06:34:53.130456
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.09433962264150944,2026-04-16 06:34:53.635881
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.09433962264150944,2026-04-16 06:34:54.137537
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.09433962264150944,2026-04-16 06:34:54.643551
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,85,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.09433962264150944,2026-04-16 06:34:55.144958
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.056466302367941715,2026-04-16 06:34:55.646467
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,237,-0.056466302367941715,2026-04-16 06:34:56.147987
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,187,-0.011450381679389313,2026-04-16 06:34:56.652583
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,69,99.84,44,99.85,133,99.91,97,99.92,187,-0.011450381679389313,2026-04-16 06:34:57.154131
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.91,97,99.92,187,0.036,2026-04-16 06:34:57.656286
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.20465116279069767,2026-04-16 06:34:58.158003
99.71,99.8,99.755,0.09000000000000341,99.71,77,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.20465116279069767,2026-04-16 06:34:58.663772
99.71,99.8,99.755,0.09000000000000341,99.71,222,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.3194029850746269,2026-04-16 06:34:59.166303
99.71,99.8,99.755,0.09000000000000341,99.71,82,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.2092485549132948,2026-04-16 06:34:59.668662
99.71,99.8,99.755,0.09000000000000341,99.71,82,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.2092485549132948,2026-04-16 06:35:00.171366
99.71,99.8,99.755,0.09000000000000341,99.71,82,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.2092485549132948,2026-04-16 06:35:00.677549
99.71,99.8,99.755,0.09000000000000341,99.71,82,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.2092485549132948,2026-04-16 06:35:01.179006
99.71,99.8,99.755,0.09000000000000341,99.71,38,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.84,44,99.85,133,99.87,47,99.91,97,0.1668696711327649,2026-04-16 06:35:01.685097
99.71,99.8,99.755,0.09000000000000341,99.71,38,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.82,66,99.84,44,99.85,133,99.87,47,0.21265822784810126,2026-04-16 06:35:02.189204
99.71,99.8,99.755,0.09000000000000341,99.71,38,99.7,31,99.69,246,99.67,123,99.66,41,99.8,21,99.82,66,99.84,44,99.85,133,99.87,47,0.21265822784810126,2026-04-16 06:35:02.694592
